Term,Tone,Austin Vote,Dups Check,Special Mark
never to call,Negative,Negative,,
newer,Neutral,Positive,,X
no answer,Negative,Negative,,
no clear plan,Negative,Negative,,
no more,Negative,Negative,,
no reasonable explanation,Negative,Negative,,
not always,Neutral,Negative,,X
not available,Negative,Negative,,
not consistently,Negative,Negative,,
not getting,Negative,Negative,,
not helpful,Negative,Negative,,
not operating,Negative,Negative,,
not possible,Negative,Negative,,
not received,Negative,Negative,,
not urgent,Neutral,Neutral,,
not yet,Negative,Negative,,
nothing came up,Negative,Negative,,
noticed a debit,Negative,Negative,,
number of occasions,Neutral,Neutral,,
odd,Negative,Negative,,
offer assistance,Neutral,Neutral,,
on hold,Negative,Negative,,
opportunities,Positive,Positive,,
out of date,Negative,Negative,,
out of the box,Neutral,Positive,,X
outstanding,Positive,Positive,,
patient,Positive,Positive,,
perseverance,Positive,Positive,,
pleasant,Positive,Positive,,
pleasure,Positive,Positive,,
previously,Neutral,Positive,,X
priorities,Positive,Positive,,
problematic,Negative,Negative,,
problems,Negative,Negative,,
professional,Positive,Positive,,
projected time,Neutral,Neutral,,
prompt,Positive,Positive,,
putting off projects,Negative,Negative,,
quick to respond,Positive,Positive,,
quicker,Positive,Neutral,,X
really appreciate,Positive,Positive,,
really need,Negative,Negative,,
refining the system,Neutral,Negative,,X
requesting to know,Neutral,Neutral,,
research,Neutral,Neutral,,
researching,Neutral,Neutral,,
resolve,Neutral,Neutral,,
response,Neutral,Neutral,,
responsive,Positive,Positive,,
rushing,Negative,Negative,,
satisfied,Neutral,Neutral,,
security,Neutral,Neutral,,
send me an email,Neutral,Neutral,,
shining star,Positive,Positive,,
should be paid,Negative,Negative,,
should not be,Negative,Negative,,
should not raise,Negative,Negative,,
should see,Neutral,Negative,,X
should strive,Negative,Negative,,
significant jump,Neutral,Neutral,,
simply,Neutral,Neutral,,
skilled,Positive,Positive,,
slip through the cracks,Negative,Negative,,
slow,Negative,Negative,,
solution-oriented,Positive,Positive,,
solve this,Negative,Negative,,
sorry about,Negative,Negative,,
special requests,Neutral,Neutral,,
speed,Positive,Neutral,,X
still have not received,Negative,Negative,,
still important,Neutral,Negative,,X
straightforward,Positive,Positive,,
subscribers,Neutral,Neutral,,
super,Positive,Positive,,
super competent,Positive,Positive,,
support innovation,Positive,Positive,,
supporting the Cause,Positive,Positive,,
surprised,Negative,Neutral,,X
suspect,Negative,Negative,,
suspects,Negative,Negative,,
take too long,Negative,Negative,,
taken months,Negative,Negative,,
takes many days,Negative,Negative,,
takes more time,Negative,Negative,,
takes too long,Negative,Negative,,
thank you,Positive,Positive,,
thanks,Positive,Positive,,
they find out,Positive,Positive,,
thorough,Positive,Positive,,
timely,Positive,Positive,,
too busy,Negative,Negative,,
too many days,Negative,Negative,,
too much,Negative,Negative,,
unaware,Negative,Negative,,
uncovered,Neutral,Negative,,X
unhelpful,Negative,Negative,,
unnecessarily,Negative,Negative,,
unresolved,Negative,Negative,,
upbeat,Positive,Positive,,
upheaval,Negative,Negative,,
used to come,Negative,Negative,,
vague,Negative,Negative,,
very good,Positive,Positive,,
very helpful,Positive,Positive,,
very satisfied,Positive,,,X
very time consuming,Negative,Negative,,
wanted to circle back,Neutral,Negative,,X
wants to change,Neutral,Neutral,,
warm,Positive,Positive,,
was a subscriber,Neutral,Neutral,,
wasn't efficient,Negative,Negative,,
well-intentioned,Negative,Negative,,
what have you seen,Neutral,Neutral,,
what was going on,Negative,Negative,,
willing,Positive,Positive,,
would benefit by,Negative,Negative,,
would get back to,Negative,Negative,,
would have access,Negative,Negative,,
would have been nice,Negative,Negative,,
would like to add,Neutral,Neutral,,
would like to confirm,Neutral,Neutral,,
would like to know,Negative,Negative,,
would not quite say,Negative,Negative,,
would not say,Negative,Negative,,
wrong spelling,Negative,Negative,,
,,,,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
,,,Dup,
